Country,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,,,
1,0.9984577067094532,0.998581952101689,0.9956539764675517,0.9951529987897004,0.9955021799734322,0.9973650798400022,0.9117766311604267,0.9084429618649527,0.9898083782092906,0.9914108985773828
2,0.998253389968728,0.9980420203584545,0.9951034212897578,0.9953815674318085,0.9899376460123352,0.9956157533235457,0.8669005026757026,0.8625264657011508,0.9864023873587213,0.9910378714279494
3,0.9967411258594536,0.996665971098081,0.9920111147963757,0.9925840457984297,0.9697665995133876,0.982025613031972,0.7876557205410444,0.7788260048550728,0.9807733361651718,0.989975779846847
4,0.9967984233247635,0.996317197423232,0.9878864437198549,0.9874421922638495,0.959103111338646,0.9758981251700939,0.813900908923478,0.802434949930062,0.9409289258030277,0.9669110116409805
5,0.9962233233109932,0.9946825094583941,0.9796673993065869,0.9789385080300816,0.9455764869267899,0.9628600776018587,0.7920638293826846,0.7749639925138736,0.9121509852979917,0.9511483228181212
6,0.9948458656032351,0.9932998477576072,0.969625130742632,0.9686822941995176,0.9245669372086542,0.9422382712334304,0.7588367578102617,0.7420088269906131,0.8857414512892942,0.941477795914728
7,0.9935914478672856,0.9937622159607669,0.9659489798875747,0.9641836251668874,0.9168392834847139,0.9357889408900402,0.7269786426056133,0.714762181126209,0.8891186009201748,0.9507312085919466
8,0.9894702756167877,0.9882226129551315,0.9497991636593114,0.9486279703149925,0.9087808428469698,0.9308933076366182,0.6861678156865574,0.6838207241300371,0.8708475787512686,0.9443998201292158
9,0.983827977557348,0.9843154941985074,0.9537097186836296,0.9513737102987807,0.9007498311276033,0.9280036684157962,0.7297934819965082,0.7252747229096281,0.8625590529792807,0.9337437081619283
10,0.9782674401167522,0.9782790741892406,0.9470088755797964,0.9474666893164453,0.894004284439513,0.9195490560839084,0.9208848219554139,0.9256964948145036,0.8350309267449837,0.9278109747668062
11,0.9710266732665214,0.967016251783951,0.9264006193454227,0.9309386632913063,0.9143549093326773,0.9366919649507846,0.9023889073993208,0.914777888260453,0.8045334620467444,0.9094517398551066
12,0.9612198381077834,0.9598721767029114,0.8990800443319501,0.9069958284128279,0.9250704435740125,0.9473089231068637,0.8935095398507179,0.9102781523973165,0.7553280528175454,0.878196522353178
13,0.9590796788968261,0.9600085474704366,0.8783057306965096,0.8879125380854269,0.9139488198098744,0.9439796285858176,0.8765306240226276,0.9037876587572659,0.6838090544285766,0.8660809297949856
14,0.9538735201482165,0.9561740048598995,0.8780203628720598,0.8828048901162555,0.9023241738772178,0.9386921599813021,0.8343573523394302,0.8617087355766315,0.639957871094575,0.8423793786999362
15,0.9417640911358645,0.9505890476934297,0.8770901682634064,0.8760071938976206,0.8957381537063358,0.9367096538441246,0.8482680998091578,0.8758210635602024,0.5926946014911465,0.8281676186076469
16,0.9447957541270977,0.9514187403521538,0.8735290109050518,0.8669370704706849,0.8988220857151983,0.9412783538020135,0.8748473592265391,0.8912750906145813,0.5585824086357447,0.8177012626741128
17,0.9374594317165805,0.9464811537846206,0.8687009200101219,0.8571968300447924,0.8763921340976986,0.94857015207205,0.8734662749194417,0.8924233019243393,0.5628547046615375,0.8252248334304355
18,0.9396760801017031,0.9439097726677049,0.8604101339330809,0.8517582003574943,0.882507438182898,0.9520860166139544,0.8611769244570138,0.8837547178171649,0.6018963059615738,0.8510641514655863
19,0.9399227820631021,0.9445863998033401,0.8221726415559693,0.8136501000829912,0.901096895960444,0.9556080664856846,0.8331675261842724,0.8695133280595542,0.5703132057976423,0.8396397941260637
20,0.9389613744204248,0.941578639447694,0.832056501793026,0.8235438770753528,0.8786342486364802,0.9548106734263321,0.8129699547892916,0.8494133367675346,0.5523643822872022,0.8412019841255168
21,0.943511711812962,0.9365817369734228,0.8041564333667575,0.8022951524795705,0.8387898775855004,0.9423367057819476,0.8122739440689013,0.8330178710694074,0.4696672334658163,0.8090910494886248
22,0.9576064230865581,0.9414412171734575,0.7507386779347007,0.7556166839745053,0.8327105888702293,0.9360385372305433,0.7986219702329536,0.8255572358681218,0.42212599945738494,0.7714082243359266
23,0.9666689998228443,0.9480297398105213,0.7410729470891153,0.757373390798981,0.8435041632809963,0.9386744634129343,0.7398313478492103,0.7938937286507999,0.43891758294597116,0.7656063407614512
24,0.9534190323796418,0.927632573153193,0.6923634038225162,0.7125160997695466,0.828498618308736,0.9311595970128853,0.6734911729858255,0.7494731688832919,0.4303397083227154,0.752328700237533
25,0.9501213516990741,0.9139435368959429,0.6795156046934108,0.7071102657083064,0.8360316666361015,0.9447139760384498,0.6875813008787202,0.7743829944729274,0.4303598517647006,0.7630626184957633
26,0.9497346643162269,0.9140945553514673,0.6034297415495787,0.6274841451840554,0.8343030251116363,0.9410046011283548,0.6494313947233867,0.7670597455983572,0.44486266421751175,0.748991161071459
27,0.9443715883853626,0.9115532891338233,0.6084981304482164,0.624818020797388,0.8371215926777953,0.931493284917597,0.6430305372832562,0.7763964410530214,0.472113197991178,0.7570963097116681
28,0.9419966199111465,0.897248006613283,0.6097858903025872,0.6259991448659561,0.8520991576943147,0.9439297459579912,0.6637848822433619,0.7803191249060033,0.42154615481440094,0.7442576891727826
29,0.9470966852237087,0.8924954031291928,0.5221896350436379,0.5348828688198513,0.843865597663809,0.9389512993321419,0.5692259975498075,0.6970586063814799,0.46250615051655897,0.7543338096647978
30,0.9326486276778396,0.8807290156492201,0.4468939472130252,0.47532922872121497,0.8195934816194599,0.9399487502266117,0.5389617302002959,0.6733618191033925,0.36624526831420556,0.7226409393081658
